0,1,2,3,4,5,6,7,8
AR,Universidad Champagnat,http://www.uch.edu.ar/,ChIJdcLVpCOPswER6UkqA0JiRSo,-32.916904,-68.842569,Belgrano 721  M5501 Godoy Cruz  Mendoza  Argentina,CmRaAAAAnzZtLbOoyV3csjILO6L8--5brXS_4JWN46hNVrv05Pkb0wZPbx1fmWfK5b1kMOhwkWBOvrWO87WFVulexZ1aAWHHOEfhBIpvYw2cMSJfvZIG8Xaf-zmSYjwu3MkmqlrBEhCSLy3IZs59weElWjRUsbAyGhSW6-9HvYSv_TB9F2CmcvSlJVm3qA,"<a href=""https://maps.google.com/maps/contrib/114687934523592169546"">Universidad Champagnat</a>"
AR,Universidad del Aconcagua,http://www.uda.edu.ar/,ChIJVcR0uSIJfpYRvEXzyhkL1JQ,-32.8898439,-68.836434,Catamarca 147  M5500 CKC  Mendoza  Argentina,CmRaAAAAnpPSpMW8iB1pA1rCCM0rlxyTXm55_XPG-28biv-W1TIDtpgxBjw_PRuaBuMuDeq4-jDWqefHsPsDNrmscUoN48ItaYG89hNyxRqyHp1YRqIrGWiROR1I2mkWuqE6DRA2EhBEZfwENsd67Cpw4PysWrXNGhQjScObbbX9xo0E9upXehv1crHwbQ,"<a href=""https://maps.google.com/maps/contrib/109508312492627900905"">Graciela Jalaf</a>"
AR,Universidad del Salvador,http://www.salvador.edu.ar/,ChIJkTp167zLvJUR4SF40QWDIOY,-34.6011779,-58.391496,Rodríguez Peña 640  C1020 ADN  Buenos Aires  Argentina,CmRaAAAAkhG-QyJtcJqho-rhOsMEWG0xCkEa9Bgx8zbwXud_IRdxSsHtzzhaP9-cnbr8tfo8AQ09DqRPrQq_wWp7C0TqXyQ9HPMtE0ym1hixl96gJZBJquZ7KaFq2lmw4PamO9TrEhACNipQqZqxLrNtPKgSuBdBGhRulXqgzCuRmVe0mW1DepnyhsUvjA,"<a href=""https://maps.google.com/maps/contrib/115997976592088448361"">Sergio Grondona</a>"
AR,Universidad Maimónides,http://www.maimonides.edu.ar/,ChIJR5uEuRTKvJURz390CSBPZKc,-34.6103188,-58.4408426,Hidalgo 775  C1405 CABA  Argentina,CmRaAAAAI4AzLpIxVHQQ__j8eyceZCNYFKp4CXUOxa0drSuj70qLkKKPMMfePnIQ48SrDGwJF0CZf06hTCJGPsnvRak-JnBHhWPBpa5DLxJNtSsKI3Yduy-d5g1RLkbTVKYGGJSaEhA90rPIlZp94kr6OUC5OPOjGhRBmnM3FkZwIVwFv6ZxtJ3xzRbTVQ,"<a href=""https://maps.google.com/maps/contrib/114632401718352595151"">Universidad Maimónides</a>"
AR,Universidad Nacional de Jujuy,http://www.unju.edu.ar/,ChIJqykZeEAPG5QRKmIg4c43Vuw,-24.179446,-65.3246439,Av. Bolivia 1239  Y4600 San Salvador de Jujuy  Jujuy  Argentina,CmRaAAAAZ65eCyC6PrHDCbYYJMXne8e9s068BNTW2wYpKLNZAZqnbG_kYmJDDnWQqcC4ndXP353emmXRlsFSTTE0m-OUpnCV8LGNKdUi42VuRYVVhMAcxo0bmKcm9rvQvtj-IDaEEhABs0o5zqF6CrtxJpYqSGZfGhSrj0Wt2JO_JkrhH7wE3bn_LggmIQ,"<a href=""https://maps.google.com/maps/contrib/115637569657478116997"">Juan Sebastian Salgado</a>"
AR,Universidad Nacional del Centro de la Provincia de Buenos Aires,http://www.unicen.edu.ar/,ChIJ3ztB4pkfkZURWOICVZ-Z0x0,-37.32875050000001,-59.13872989999999,Pinto 399  Tandil  Provincia de Buenos Aires  Argentina,CmRaAAAAwfW0VRCOs2B7leLbySRWL7NAKO7eufhBOXlz8Zm0lwMdLfXVxZY0bQgBoLPkGvidO4ji7QK64CZzujzW6XKZyO8sS4wwge1L6EVNouC7BdrwTy2msmmxzEmZopOH-CLsEhCiUH0IBi_2G3QpERfskMU_GhQaKMh58yk9Pdvi9fsY5Y67QhmW2w,"<a href=""https://maps.google.com/maps/contrib/106361949903986573451"">Daiana Amarante</a>"
AR,Universidad Nacional de Mar del Plata,http://www.mdp.edu.ar/,ChIJQ_KNMLfehJURAKTsaiyN8HM,-38.005743,-57.5713091,Deán Funes 3350  B7602AYL Mar del Plata  Provincia de Buenos Aires  Argentina,CmRaAAAAkP5FTlEEigoUOMJiBPzlQJyp7HX3rL0k0GxSDfZ_0C7HpDkvFm0Tq7KpzC8kkHQuann8F6jvq6ztrm1jAbW65drPpQgpq5LN9bF2drqmiLfxXLp50CULcI2PuuFDO2NkEhAMgEE_xGlNu7Q5nZoKzA64GhTYvgH6nGqxijPT6ikzPxrCukT6HQ,"<a href=""https://maps.google.com/maps/contrib/111962988700870593262"">Michel Bulthé</a>"
AR,Universidad Nacional de Santiago del Estero,http://www.unse.edu.ar/,ChIJKazwE_lNO5QRlvgl7ZOpfW0,-27.8015324,-64.25122329999999,Av. Belgrano Sur 1912  G4200 Santiago del Estero  Argentina,CmRaAAAATayFxb0i2OQ_if897RKhA1D1DQc9H4xgq579a4qXAIF--IoqF7IIXTVVSG4OQ8eOrhq1FtGIV42DoSr4uYe3SRL8CLFbbOnlHHjuxMqhVE7Zhfcwbty6DJ6sIU9sExf9EhAWaZh2icmcTmTQHBxYyViuGhR8tmp67ii2Qy6icUzvJUEOWNJ09w,"<a href=""https://maps.google.com/maps/contrib/117854770820456279963"">Ailen Larred</a>"
AT,Donau-Universität Krems,http://www.donau-uni.ac.at/,ChIJY4IuFkmEckcRthSPHNgHCVI,48.4081548,15.5862305,Dr.-Karl-Dorrek-Straße 30  3500 Krems an der Donau  Austria,CmRaAAAATUPyAObbhlgD6k5RPHARS73WlN3qJj9OW9DuPy0rTGkUX1Hy_JwATtNLw3tSFf3_CRC1qP9H4AbkIYn56NPg274VcuD5-E2mZFD2YqGhXAS4eFfxPZSpz1z-zpM1xTx4EhB0hbrWv4jnjQUstzuqaVzBGhRFetWyvCd1MPmaWbXX2h5FvwLsiw,"<a href=""https://maps.google.com/maps/contrib/112759596221896030317"">Donau-Universität Krems</a>"
AT,Fachhochschule St. Pölten,http://www.fh-stpoelten.ac.at/,ChIJIdKftVR_ckcRk_ypSytiHYM,48.2138472,15.6318389,Matthias Corvinus-Straße 15  3100 St. Pölten  Austria,CmRaAAAAX6_6URlmVwI5Huk66AAhE6lyvYAl7JpCnyHYBWc8NGWHbqaF5mayAVFBiSEyKa-GL2UkKu4claI9yW3YcN44UM8755UUMgSQbY63CuHg16ZKoT4AQoB4qNQjDyivPlCyEhBE39DB5EIv56IStRKPOL2GGhRbKQMIVNO6CrHP2t-8BAmvqASlhg,"<a href=""https://maps.google.com/maps/contrib/111521327714141223239"">Thomas Entner</a>"
AT,Institute of Science and Technology,http://www.ist.ac.at/,ChIJlQPBDoCCeUgRVrfRprTbRp8,53.3805905,-1.4758403,90 Rockingham St  Sheffield City Centre  Sheffield S1 4EB  UK,NA,NA
AT,Technikum Wien,http://www.technikum-wien.at/,ChIJz3HZbk8GbUcRnS-xuzjH_pk,48.2392831,16.3773241,Höchstädtpl. 6  1200 Wien  Austria,CmRaAAAAuq9znpENRzVmJxHexz6w32YEmOCkDgYvDLAgE7mGUQnJlWtKRUvtFAxdtWfM3ZCMdPxdUxGyAE8ZXqBEMa5ALuHr6L_MWKBg7_L4Kwfc__KTm9qN8CqGoj_yZGLiM5B4EhCMdUHZIRX-pG37LvzkhdLlGhRghKV_bXb7sZiiUijK42Q6BuZQ3A,"<a href=""https://maps.google.com/maps/contrib/106457688186485945064"">Technikum Wien GmbH</a>"
AT,Universität Graz,http://www.kfunigraz.ac.at/,ChIJrYPp9nhKbkcR7bQ0gWt0QM8,47.0776328,15.4495241,Universitätspl. 3  8010 Graz  Austria,CmRaAAAAcTtRfkMcMEXra_zr93lpB-ukr7WTZaH7TLhqjBJjzykDt9MCijuCqzgiIQPSKCeZIDG5YP6aYXWtA3pmVow-SxptTnBSZ6-4A1wVI1LWbkyvqOk-od2ZUU3jjtnu__CkEhAw2sw8GNR42U5r5SwYwPjaGhTbXBeYkbU5oh98x2VrVUC14RHEjA,"<a href=""https://maps.google.com/maps/contrib/110742381826570429888"">W Jr</a>"
AT,"Webster University, Vienna",http://www.webster.ac.at/,ChIJZe_ViFIECUERfNDc-RG1E7Y,48.21401699999999,16.3829478,Praterstraße 23  1020 Wien  Austria,CmRaAAAAIqtEy0SIaLTGG_AWeBgQKoJOZsPtTQ8NshKWgHgV3xgL9401chqwJXxS0ZU0hFotfjPHCRFODeFxHCoOJQPofbinPGPKKLaLGmACxUfr9SCh_3rLw9YOSCKoSl5P40mmEhDUJWHyk0YRjV5os5j2Wr6nGhR__eh80Hzw9dJ61UY1ielR8iww3w,"<a href=""https://maps.google.com/maps/contrib/110612485271291319083"">Webster Vienna Private University</a>"
AU,Avondale College,http://www.avondale.edu.au/,ChIJFyReFla-Z0gRQTAefBj_44w,52.9343558,-6.236100800000001,Rathdrum  Co. Wicklow  Ireland,NA,NA
AU,Deakin University,http://www.deakin.edu.au/,ChIJ_YmHXKYHe0gR3POc7H1eBio,53.4977155,-2.5148862,42 Church St  Leigh WN7 1AZ  UK,NA,NA
AU,La Trobe University,http://www.latrobe.edu.au/,ChIJm6Y4iuJF1moRwNoyBXZWBA8,-37.7206671,145.048414,Plenty Rd &  Kingsbury Dr  Bundoora VIC 3086  Australia,CmRaAAAA67iJrzyjVIgZ7vm5Njj9ak666j4SJLiYJD8N-TbiQRM0DMW3FhTtiVWot5gI4uHui36x4-bQ0VVC79G5Ps-oebdrgjWFnFm68qilXaq1TNwxi0V6gKQlDmd_WTRp6eCqEhB9_9hqsFlALWCDfOYHYsMRGhTE-VKFAAmye9eo3wBTQWujIEYWOQ,"<a href=""https://maps.google.com/maps/contrib/106314489182696167285"">Raveen Panditha</a>"
AU,Swinburne University of Technology,http://www.swin.edu.au/,ChIJr1quazJC1moRafeISb1r6XU,-37.8221504,145.0389546,John St  Hawthorn VIC 3122  Australia,CmRaAAAAWx0nAnksUWHINArrU68EleBJxqpxwHU2-H06XeWWpoJauJjvqf_ljWkMlKvflz4O8GWu2msuNZKh-CpK3ucj9fCuEL09_Cix6AO5bWDU6K_BS0hLH0CyyI9bIxPhidKIEhDtYMAVIpjPyOtdIgyHrVr6GhTs-BtFOQiCyiCmnF3gBDN4gzwCAA,"<a href=""https://maps.google.com/maps/contrib/104187163926454751463"">Kurniawan MC</a>"
AU,University of New South Wales,http://www.unsw.edu.au/,ChIJp8ECA4uxEmsRoAd6A2l9AR0,-33.917347,151.2312675,Sydney NSW 2052  Australia,CmRaAAAATJHdP_MUOUbYoB9VDk451G0eCGqTcS9yAafyEh2GSBKN7wEVlGamTrk1TsvVJw3Q6jJj9eZxHGVScoY3QNXiDpp9aadM8RawEHGEyuCar3Octi7T-FMeHUmzDEgAvejXEhBVKkOfcr5_argaHPlE5YelGhTH74xROyfGOahEv_LHPAmdpKPL4g,"<a href=""https://maps.google.com/maps/contrib/114659500510103762681"">Ayako Tamura</a>"
AU,University of the Sunshine Coast,http://www.usc.edu.au/,ChIJMxuSxqadk2sRXM1il8QhqzQ,-26.7172175,153.064907,90 Sippy Downs Dr  Sippy Downs QLD 4556  Australia,CmRaAAAA80i0K0vpwIPz8Vy2kZYurnjRMEnUnjoUSAC2NzHZDP27apKz_6bgFy8yPZ8evxJDO6ou2mLOYZbp4O3YcriIfw6liM-AyWmPvlGzrdKYIxxzDYGwKGcD1soZKVHwOVPtEhDcombVRmFWsfvjG5ucoKuvGhROu2IpIqOBUq6IgOHTP4Us9ftKGw,"<a href=""https://maps.google.com/maps/contrib/113659928330153757330"">USC Sunshine Coast</a>"
AZ,Azerbaijan National Conservatorie,http://www.conservatory.az/,,,,,,
AZ,Baki Business University,http://www.bbu.edu.az/,ChIJi_Q6snuHMEAROWk18YZSO5o,40.3971131,49.806832,Bakı Biznes Universiteti  Həsənbəy Zərdabi  Bakı  Azerbaijan,NA,NA
AZ,National Aviation Academy,http://www.naa.edu.az/,ChIJZwZ3_zjlwogRhf8wKLIlh-4,27.8948497,-82.7215576,6225 Ulmerton Rd  Clearwater  FL 33760  USA,CmRaAAAAYULm6YF1wMvgeS44nuqXb9v69s5FNRC0fnhNL1yU0nrbql9hkOkWzYuI1qisJaxdImGoJum3uP-C4hLJZSwJIpkg0h2_NzMgXZuflRUzVLEJUqLIE-11bVXfasWrp3GXEhC-Iuwkfe014bklsKEEsXKiGhQH1I-r9BUrxzedjw68TJXy965b_g,"<a href=""https://maps.google.com/maps/contrib/111267447443730347312"">National Aviation Academy</a>"
BA,International University of Sarajevo,http://www.ius.edu.ba/,ChIJe9o3uwvKWEcRua99BJlgTaE,43.82174699999999,18.309177,Hrasnička cesta 15  Ilidža 71210  Bosnia and Herzegovina,CmRaAAAApPrenphBOabQruPhcMI4waT_GffPO3NP4dGnCn8yk9uh-6on8w6KGADMQtR-3F5N5GNWM9npT4vZuivzLNrTY8JELyAgI7j36I09SP-d1VKZAS5bYM6ibQc8TzTSPyZnEhDPfgGC9exqSdto7xKCGno_GhQLfvkWNqV2_V_1rADEhQcr44fD6A,"<a href=""https://maps.google.com/maps/contrib/106213826557594285385"">Uluslararası Saraybosna Üniversitesi</a>"
BA,University of Sarajevo,http://www.unsa.ba/,ChIJY9xiK8XIWEcRNy7oxDZ4gOc,43.8568576,18.4189278,Obala Kulina bana 7/II  Sarajevo 71000  Bosnia and Herzegovina,CmRaAAAAFiGf-7XAaDm7kDtSmrX1kE2EpB4YP4PoRQT7OPxRN2QINz1MjXG03PFNQIQtKEolUW7tLcLFd6nfGVQBEuKClXKLjPUr0-xwojLcINJIX5049IuNACl_H3dA-_Xck75ZEhAflqE0tWBt9Oom0CJwJ5_HGhRh2ZhFp7B_ZtTzP1tvEte7Jle0rQ,"<a href=""https://maps.google.com/maps/contrib/109219903835007387726"">Zsolt Szabó</a>"
BD,Asa University Bangladesh,http://www.asaub.edu.bd/,ChIJyXaa6q_AVTcRsJZxzogH3pg,23.773253,90.3664972,23/3  Bir Uttam A.N.M Nuruzzaman Sarak  ঢাকা 1207  Bangladesh,CmRaAAAAvoRgsLJ1TZnWo3q5G1ASHpg4puCMyFbK6GwjBP-yQs9os4s6YoivincFdVvzEjR2BbDLkPtVWEeX6h5gKaIF7pY7Jk0N8uYdvFxQG_rY0qz5OuumY8aRPfysHmGGEeebEhALaVBtB1ia8B7g3tdo63MrGhQQ20c5j7EFXJv9HAQ2sRnxvM5wgg,"<a href=""https://maps.google.com/maps/contrib/104168914207187456548"">আশা বিশ্ববিদ্যালয়</a>"
BD,Bangladesh University of Business & Technology,http://www.bubt.edu.bd/,ChIJUSg4FSDBVTcR0nIazy-p7Dw,23.8117863,90.35691519999999,Plot # 77-78  Road # 9  Rupnagar R/A Mirpur-2 Dhaka  Dhaka 1216  Bangladesh,CmRaAAAANb771bG2aDffHIwIzie4Ir3Osp694_e_eYKnfEizEOYPDjZWkijfTjBLyUd6Ol9CxRwJ7lf2xHzfColKM5xqJM4PQposY7OIxFNdhoFXNLpcGsRlEgWBfJAhZfZ_1l7YEhBkNu_DhOwOouPwOV4EU4tRGhSWxVZkUbIpKAzMyDpNqNpeCj5g0w,"<a href=""https://maps.google.com/maps/contrib/111551568346157574922"">Bangladesh University of Business and Technology (BUBT)</a>"
BD,Chittagong University of Engineering and Technology,http://www.cuet.ac.bd/,ChIJSVWuNMovrTARlw7pszeKyDU,22.4619433,91.9710592,Kaptai  Highway রাউজান পাহাড়তলী সড়ক  চট্টগ্রাম 4349  Bangladesh,CmRaAAAABQC3VSGKMwlg-gmuBjrgP4E4kOvoRxmGHG_4ME2H9yhnGD-LtaqCx0J9gia3woodnrbGVWpyzRrCKpvXSr596MG97bgd0JYLpvfJ_96-1DflZCzH3pOW0LuYhHbU1qMCEhCmIPV_ExDfSoVYnhazQykFGhRclhaYmvCf-9IQv4wea7FK6MP_7Q,"<a href=""https://maps.google.com/maps/contrib/105532495676067775142"">ICT Garden -Bangla</a>"
BD,Eastern University,http://www.easternuni.edu.bd/,ChIJy0hxyBaVxokRuZSfopqerRA,40.05119810000001,-75.37128,1300 Eagle Rd  St Davids  PA 19087  USA,CmRaAAAA0AdXCCdhae0jOymB1yYOGpMGcABJtMuqOZdDlLAVW-XTtKkc_gnOn6831VN-cK1G5Nf2Jyuk04wkd4rve3oa60WL6LrbFD4scfg1ve24k5Yhr0GGeu1giNhGgsVtYAbqEhDTJwzh0It0hGD1kkjQ6svQGhQeIJiD1J1068ZHBwjUQS63_SPbjw,"<a href=""https://maps.google.com/maps/contrib/111486498183702112597"">Eastern University</a>"
BD,International Islamic University Chittagong,http://www.iiuc.ac.bd/,ChIJXVgVpncnrTARE6fz5PYI-dw,22.4966101,91.721096,IIUC  কুমিরা 4318  Bangladesh,CmRaAAAA7obwiqSjEOCwWsh1Qftl_y1zGBCZlKflDWFepBbkyVtMVT1BPRU1Qj1u_JvCC2dUPKLiheC9IfKwKg_y2Hw4wGKyEGKKBCogTIFt6gQEAKf5xYYyqkCxqm6eAyoKHV9mEhD5OF4kjL60dHp5WyESCo81GhTTSo5iQKeilx_PZK7DXRURy4VQ2g,"<a href=""https://maps.google.com/maps/contrib/115249100127790906119"">International Islamic University Chittagong</a>"
BD,Khulna University of Engineering And Technology,http://www.kuet.ac.bd/,ChIJ5fYPHdqb_zkRDM3vCGmSOhI,22.9005524,89.50235649999999,Khulna 9203  Bangladesh,CmRaAAAAd1F9KnK5m3vjKs82_BLjcjm7VmSTU_WQe-kYGkGEbS3u74A_FLT1BFgYMk5Uv0k-bked0aXFQpiWPJpK2y-saRz_zC4L3FC-NuyBXRPqPCBRGHj-vJE87UwiuiT5aR0hEhAUZNmz28WlhSrd5wAuGFujGhS3ejLsI7j_thm6W1L9OsDy4q-sLg,"<a href=""https://maps.google.com/maps/contrib/112732572105553900890"">Alawol Ahamed</a>"
